time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-21T00:30:07.890Z,-10.2454,153.3329,10,4.4,mb,37,76,9.938,0.59,us,us7000hcr1,2022-08-02T19:50:53.040Z,"295 km E of Samarai, Papua New Guinea",earthquake,6.9,1.9,0.1,29,reviewed,us,us
2022-05-20T19:14:25.910Z,-10.2614,153.1957,10,4.6,mb,50,34,6.117,0.68,us,us6000hmr3,2022-07-24T02:40:42.040Z,"280 km E of Samarai, Papua New Guinea",earthquake,8.7,1.9,0.096,39,reviewed,us,us
2022-05-19T03:59:16.066Z,-11.9938,122.5819,10,4.3,mb,20,104,2.772,0.7,us,us7000hcf9,2022-07-24T02:40:08.040Z,"230 km SSW of Kupang, Indonesia",earthquake,5.5,1.9,0.2,7,reviewed,us,us
2022-05-08T23:03:45.957Z,-12.1985,121.9137,10,4.8,mb,36,73,3.351,0.41,us,us7000h813,2022-07-22T18:31:07.040Z,"290 km SW of Kupang, Indonesia",earthquake,4.8,1.9,0.127,19,reviewed,us,us
2022-05-02T13:19:53.127Z,-11.6561,119.8645,10,4.2,mb,17,108,3.481,0.68,us,us7000h8c6,2022-07-09T21:39:50.040Z,"225 km S of Waingapu, Indonesia",earthquake,6.6,1.9,0.2,9,reviewed,us,us
2022-04-28T03:36:30.880Z,-10.8026,123.2958,10,4.4,mb,21,121,1.413,0.85,us,us7000h7ae,2022-07-05T03:41:33.040Z,"77 km SSW of Kupang, Indonesia",earthquake,5.7,1.9,0.162,11,reviewed,us,us
2022-04-27T04:41:59.641Z,-10.3684,123.5296,10,4.5,mb,22,81,0.948,0.89,us,us7000h70t,2022-07-05T03:41:15.040Z,"23 km SSW of Kupang, Indonesia",earthquake,5.2,1.9,0.171,10,reviewed,us,us
2022-04-17T13:27:57.438Z,-10.4367,120.2777,35,4.3,mb,,141,2.634,0.61,us,us6000hfk8,2022-06-26T01:18:52.040Z,"86 km S of Waingapu, Indonesia",earthquake,7.5,2,0.177,11,reviewed,us,us
2022-04-17T04:34:50.191Z,-17.4249,121.6938,10,4.4,mb,,77,3.819,0.81,us,us7000h2t5,2022-06-26T01:18:42.040Z,"78 km NW of Bilingurr, Australia",earthquake,5.9,1.8,0.269,5,reviewed,us,us
2022-04-12T02:56:17.967Z,-11.4773,117.81,10,4.2,mb,,94,4.68,0.7,us,us7000h293,2022-06-20T22:08:21.040Z,"south of Sumbawa, Indonesia",earthquake,8.8,1.9,0.216,6,reviewed,us,us
2022-04-08T11:34:13.206Z,-12.7519,113.1955,10,4.3,mb,,105,4.357,0.44,us,us7000h1uf,2022-06-11T20:21:21.040Z,"northwest of Australia",earthquake,5.8,1.8,0.148,13,reviewed,us,us
2022-04-07T05:09:17.787Z,-10.8874,121.1318,10,4.4,mb,,76,2.488,0.62,us,us7000h1t8,2022-06-11T20:21:20.040Z,"166 km SE of Waingapu, Indonesia",earthquake,7.2,1.9,0.268,4,reviewed,us,us
