,VIC,NSW,QLD,SA,WA,TAS,NT,ACT,National
20/04/20,1,6,5,0,1,9,0,0,45
21/04/20,7,6,0,0,0,3,0,1,11
22/04/20,2,5,6,2,1,1,0,0,23
23/04/20,1,5,0,1,0,4,0,0,12
24/04/20,6,7,2,0,0,0,0,0,8
25/04/20,3,12,2,0,2,2,0,1,20
26/04/20,3,8,2,0,1,1,0,1,20
27/04/20,1,2,3,0,0,4,0,0,18
28/04/20,2,5,3,0,0,2,0,0,8
29/04/20,3,11,0,0,1,4,0,0,12
30/04/20,7,2,1,0,1,1,0,0,17
1/5/2020,3,9,0,0,0,2,0,0,11
2/5/2020,7,5,0,0,0,0,0,0,12
3/5/2020,13,4,1,0,0,0,2,0,15
4/5/2020,22,1,1,0,0,0,0,0,18
5/5/2020,17,3,3,0,0,0,0,1,27
6/5/2020,17,9,5,0,0,2,0,0,27
7/5/2020,14,3,0,0,0,0,0,0,26
8/5/2020,14,4,2,1,0,2,0,0,22
9/5/2020,11,5,0,0,1,0,0,0,19
10/5/2020,10,2,0,0,0,0,0,0,16
11/5/2020,7,1,2,0,0,0,0,0,14
12/5/2020,17,0,0,0,0,0,0,0,8
13/05/20,7,6,0,0,1,0,0,0,18
14/05/20,9,4,0,0,0,0,0,0,13
15/05/20,21,8,0,0,1,0,0,0,14
16/05/20,11,3,1,0,0,1,0,0,31
17/05/20,7,1,1,0,2,0,0,0,17
18/05/20,8,1,0,0,0,0,0,0,8
19/05/20,7,2,2,0,0,0,0,0,11
20/05/20,8,4,0,0,0,0,0,0,9
21/05/20,4,2,1,0,0,0,0,0,13
22/05/20,12,3,0,0,0,0,0,0,6
23/05/20,10,3,0,0,0,0,0,0,15
24/05/20,2,1,1,0,0,0,0,0,14
25/05/20,2,3,1,0,0,0,0,0,4
26/05/20,5,2,0,0,4,0,0,0,9
27/05/20,8,2,1,1,6,0,0,0,15
28/05/20,10,1,1,0,0,0,0,0,11
29/05/20,7,2,0,0,7,0,0,0,18
30/05/20,11,0,0,0,8,0,0,0,17
31/05/20,6,3,0,0,0,0,0,0,11
1/6/2020,4,3,0,0,3,0,0,0,12
2/6/2020,10,6,0,0,1,0,0,0,8
3/6/2020,7,0,1,0,0,0,0,0,17
4/6/2020,8,2,0,0,1,0,0,0,8
5/6/2020,3,4,0,0,0,0,0,0,10
6/6/2020,0,0,0,0,4,0,0,0,11
7/6/2020,4,0,1,0,1,0,0,0,2
8/6/2020,2,3,0,0,0,0,0,1,5
9/6/2020,0,2,0,0,0,0,0,0,5
10/6/2020,4,3,0,0,0,0,0,0,2
11/6/2020,8,0,0,0,0,0,0,0,7
12/6/2020,4,3,1,0,0,0,0,0,9
13/06/20,8,4,1,0,1,0,0,0,9
14/06/20,9,9,1,0,0,0,0,0,13
15/06/20,12,3,0,0,0,0,0,0,18
16/06/20,9,3,0,0,0,0,0,0,15
17/06/20,21,1,0,0,0,0,0,0,12
18/06/20,18,2,1,0,0,0,0,0,23
19/06/20,13,7,0,0,1,0,0,0,21
20/06/20,25,1,0,0,0,0,0,0,20
21/06/20,19,5,0,0,0,0,0,0,26
22/06/20,16,2,0,0,1,0,0,0,25
23/06/20,17,1,0,0,0,0,0,0,18
24/06/20,20,10,0,0,2,0,0,0,20
25/06/20,33,4,0,0,0,0,0,0,30
26/06/20,30,6,0,0,0,0,0,0,37
27/06/20,41,6,1,0,0,0,0,0,37
28/06/20,49,3,0,0,0,0,0,0,47
29/06/20,75,7,0,0,1,0,0,0,53
30/06/20,64,5,0,3,0,0,0,0,85
1/7/2020,73,14,0,0,2,0,0,0,71
2/7/2020,77,8,0,0,0,0,0,0,87
3/7/2020,66,0,0,0,0,0,1,0,86
4/7/2020,108,6,0,0,0,0,0,0,66
5/7/2020,74,14,0,0,0,0,0,0,114
6/7/2020,127,10,0,0,6,0,0,0,94
7/7/2020,191,7,0,0,3,0,0,0,140
8/7/2020,134,8,1,0,0,0,0,0,199
9/7/2020,165,13,0,0,2,0,0,3,147
10/7/2020,288,14,0,0,3,0,0,1,182
11/7/2020,216,7,0,0,3,0,1,1,307
12/7/2020,273,5,2,0,2,0,0,0,227
13/07/20,177,14,0,0,1,0,0,0,279
14/07/20,270,13,1,0,0,0,0,0,192
15/07/20,238,13,0,0,1,0,0,0,284
16/07/20,317,10,0,0,8,0,0,0,259
17/07/20,428,8,0,1,2,0,0,0,330
18/07/20,217,15,0,0,2,0,0,0,438
19/07/20,363,18,0,0,1,0,0,0,233
20/07/20,275,20,0,0,0,0,0,0,381
21/07/20,374,13,1,0,0,1,0,0,297
22/07/20,484,16,0,0,0,0,0,0,387
23/07/20,403,19,1,2,0,0,0,0,503
24/07/20,300,7,0,1,0,0,0,0,423
25/07/20,357,15,2,0,0,0,0,0,309
26/07/20,459,14,0,0,0,0,0,0,372
27/07/20,532,17,0,0,2,0,0,0,475
28/07/20,384,14,0,0,0,0,0,0,549
29/07/20,295,19,0,1,1,0,0,0,400
30/07/20,723,18,3,0,2,0,0,0,319
31/07/20,627,21,3,1,1,0,0,0,746
1/8/2020,397,17,1,1,1,0,1,0,652
2/8/2020,671,12,1,1,0,0,1,0,417
3/8/2020,429,13,1,2,1,0,0,0,687
4/8/2020,439,12,0,2,0,0,0,0,444
5/8/2020,725,12,0,2,0,0,0,0,453
6/8/2020,471,12,1,0,1,0,0,0,739
7/8/2020,450,11,0,1,0,0,0,0,484
8/8/2020,466,9,0,2,0,0,0,0,463
9/8/2020,394,10,0,0,0,0,0,0,475
10/8/2020,322,14,0,0,0,0,0,0,404
11/8/2020,331,22,1,0,0,0,0,0,337
12/8/2020,410,18,0,0,0,1,0,0,354
13/08/20,278,12,0,0,0,0,0,0,428
14/08/20,372,9,0,0,2,0,0,0,292
15/08/20,303,9,3,1,1,0,0,0,386
16/08/20,279,5,0,0,1,0,0,0,313
17/08/20,282,7,0,1,0,0,0,0,285
18/08/20,222,3,0,1,0,0,0,0,290
19/08/20,216,7,0,0,1,0,0,0,226
20/08/20,240,5,1,0,4,0,0,0,228
21/08/20,179,1,1,0,0,0,0,0,246
22/08/20,182,9,0,0,0,0,0,0,180
23/08/20,208,4,9,0,0,0,0,0,200
24/08/20,116,3,2,1,1,0,0,0,216
25/08/20,148,3,1,0,1,0,0,0,121
26/08/20,149,6,0,0,0,0,0,0,151
27/08/20,113,9,1,0,0,0,0,0,156
28/08/20,113,13,2,0,0,0,0,0,124
29/08/20,94,14,3,0,2,0,0,0,131
30/08/20,114,7,4,0,0,0,0,0,112
31/08/20,73,10,4,0,0,0,0,0,125
1/9/2020,70,13,1,0,0,0,0,0,84
2/9/2020,90,17,2,0,0,0,0,0,85
3/9/2020,113,12,2,0,0,0,0,0,109
4/9/2020,81,8,2,0,0,0,0,0,127
5/9/2020,76,5,0,0,0,0,0,0,89
6/9/2020,63,10,1,1,0,0,0,0,83
7/9/2020,41,4,2,0,1,0,0,0,76
8/9/2020,55,9,2,0,1,0,0,0,48
9/9/2020,76,9,1,0,1,0,0,0,66
10/9/2020,51,7,8,0,0,0,0,0,93
11/9/2020,43,10,0,0,1,0,0,0,59
12/9/2020,37,6,2,0,0,0,0,0,55
13/09/20,41,9,3,0,0,0,0,0,46
14/09/20,35,4,0,0,0,0,0,0,50
15/09/20,42,7,0,0,0,0,0,0,39
16/09/20,42,10,1,0,0,0,0,0,50
17/09/20,28,5,0,0,1,0,0,0,53
18/09/20,45,6,1,0,1,0,0,0,35
19/09/20,21,3,0,0,0,0,0,0,51
20/09/20,14,2,0,0,0,0,0,0,24
21/09/20,11,4,2,0,1,0,0,0,19
22/09/20,28,2,1,0,0,0,0,0,16
23/09/20,15,6,0,0,3,0,0,0,33
24/09/20,12,1,0,2,0,0,0,0,23
25/09/20,14,4,0,0,3,0,0,0,16
26/09/20,12,1,0,0,0,0,0,0,18
27/09/20,16,0,3,0,1,0,0,0,17
28/09/20,5,0,1,0,7,0,0,0,24
29/09/20,10,2,0,0,0,0,0,0,5
30/09/20,13,4,0,0,8,0,0,0,20
1/10/2020,15,2,0,0,0,0,0,0,17
2/10/2020,7,4,0,0,1,0,0,0,18
3/10/2020,8,1,2,2,0,0,0,0,15
4/10/2020,12,2,0,0,1,0,0,0,10
5/10/2020,9,1,0,1,0,0,0,0,15
6/10/2020,15,11,0,0,1,0,0,0,11
7/10/2020,6,3,0,2,0,0,0,0,28
8/10/2020,11,12,0,0,1,0,0,0,10
9/10/2020,11,10,0,0,2,0,0,0,25
10/10/2020,14,3,0,1,2,0,0,0,24
11/10/2020,12,5,1,0,0,0,0,0,18
12/10/2020,15,6,0,2,2,0,0,0,21
13/10/20,12,13,0,0,2,0,0,0,23
14/10/20,7,13,0,1,7,0,0,0,33
15/10/20,6,11,0,3,1,0,0,0,24
16/10/20,2,5,1,0,5,0,0,0,23
17/10/20,1,7,2,0,0,0,0,0,9
18/10/20,2,5,0,3,2,0,0,0,13
19/10/20,4,4,0,2,3,0,0,0,12
20/10/20,1,5,0,0,0,0,0,0,8
21/10/20,3,10,0,0,24,0,0,0,30
22/10/20,5,7,1,1,1,0,0,0,16
23/10/20,1,7,0,0,8,0,0,1,21
24/10/20,7,5,2,2,6,0,0,0,18
25/10/20,7,7,0,0,4,0,0,0,16
26/10/20,0,4,0,4,3,0,0,0,21
27/10/20,0,12,0,3,2,0,0,0,9
28/10/20,2,8,0,0,2,0,0,0,14
29/10/20,3,5,2,1,1,0,1,0,15
30/10/20,4,6,0,1,1,0,4,0,14
31/10/20,0,4,1,1,1,0,0,0,13
1/11/2020,0,4,0,4,1,0,0,0,9
2/11/2020,0,7,1,0,1,0,0,0,6
3/11/2020,0,3,0,0,1,0,0,0,8
4/11/2020,0,9,3,2,0,0,0,0,8
5/11/2020,0,2,2,1,1,0,0,0,13
6/11/2020,0,9,0,5,4,0,1,0,12
7/11/2020,0,5,0,1,1,0,0,0,11
8/11/2020,0,3,0,2,0,0,0,0,7
9/11/2020,0,7,0,3,0,0,0,0,6
10/11/2020,0,5,0,2,0,0,1,0,10
11/11/2020,0,4,1,1,2,0,0,0,9
12/11/2020,0,5,1,1,2,0,0,0,8
13/11/20,0,1,3,1,3,0,1,0,13
14/11/20,0,4,1,0,0,0,5,0,7
15/11/20,0,9,2,3,0,0,0,0,9
16/11/20,0,2,0,4,4,0,0,0,17
17/11/20,0,4,0,18,1,0,0,0,21
18/11/20,0,7,1,5,0,0,0,0,10
19/11/20,0,5,1,2,6,0,0,1,17
20/11/20,0,3,3,0,0,0,0,0,8
21/11/20,0,10,0,3,2,0,0,0,8
22/11/20,0,11,2,1,1,0,0,0,14
23/11/20,0,5,1,1,2,0,0,0,15
24/11/20,0,6,3,1,5,0,1,0,15
25/11/20,0,4,1,1,4,0,0,0,12
26/11/20,0,0,0,0,2,0,2,0,8
27/11/20,0,4,0,1,7,0,0,0,8
28/11/20,0,8,0,1,0,0,3,1,9
29/11/20,0,4,1,1,0,0,0,1,11
30/11/20,0,9,2,0,1,0,0,0,7
1/12/2020,0,5,0,0,0,0,0,0,9
2/12/2020,0,6,0,0,3,0,1,0,9
3/12/2020,0,10,3,0,2,0,0,0,11
4/12/2020,0,5,1,0,0,0,6,0,17
5/12/2020,0,2,2,0,2,0,0,0,9
6/12/2020,0,5,2,0,3,0,0,0,7
7/12/2020,0,4,2,0,2,0,0,0,9
8/12/2020,0,6,3,0,0,0,0,0,7
9/12/2020,0,2,6,0,1,0,2,0,15
10/12/2020,0,4,0,0,1,3,0,0,6
11/12/2020,0,9,3,0,0,1,1,0,9
12/12/2020,5,6,0,0,2,0,0,0,11
13/12/20,1,3,1,0,1,0,0,0,13
14/12/20,1,3,0,0,1,0,0,0,5
15/12/20,0,5,1,1,1,0,2,0,9
16/12/20,0,7,1,0,1,0,2,0,9
17/12/20,0,9,1,0,4,0,0,0,12
18/12/20,1,16,1,0,1,0,2,0,13
19/12/20,2,30,3,0,1,0,0,0,21
20/12/20,2,36,0,0,1,0,3,0,36
21/12/20,1,23,2,3,0,0,0,1,44
22/12/20,3,18,1,0,1,0,0,0,26
23/12/20,1,16,0,0,0,0,0,0,21
24/12/20,0,18,1,0,0,0,0,0,18
25/12/20,0,10,2,2,1,0,2,0,25
26/12/20,0,15,2,2,1,0,0,0,15
27/12/20,1,11,1,0,5,0,0,0,21
28/12/20,2,14,0,2,2,0,0,0,16
29/12/20,0,9,5,1,3,0,0,0,25
30/12/20,1,25,2,0,1,0,1,0,13
31/12/20,3,17,2,3,0,0,0,0,31
1/1/2021,8,5,3,2,2,0,0,0,27
2/1/2021,12,19,0,4,2,0,1,0,20
3/1/2021,3,11,1,0,3,0,7,0,42
4/1/2021,4,7,0,0,1,0,1,0,16
5/1/2021,4,8,5,4,1,0,1,0,22
6/1/2021,3,5,2,0,1,0,5,0,20
7/1/2021,0,6,1,1,3,0,0,0,13
8/1/2021,1,11,2,0,2,0,0,0,10
9/1/2021,1,6,9,3,0,0,1,0,25
10/1/2021,6,6,0,3,1,0,1,0,12
11/1/2021,1,11,0,0,0,0,1,0,13
12/1/2021,0,16,4,1,2,0,0,0,19
13/01/21,3,7,3,0,1,0,0,0,20
14/01/21,0,2,2,2,1,0,1,0,16
15/01/21,2,2,4,0,2,0,2,0,10
16/01/21,3,12,3,1,3,0,0,0,11
17/01/21,7,9,1,2,2,0,0,0,20
18/01/21,4,8,2,0,1,0,0,0,19
19/01/21,4,2,1,0,0,0,0,0,13
20/01/21,3,3,3,0,1,0,2,0,12
21/01/21,1,5,2,1,0,0,1,0,10
22/01/21,1,1,1,2,0,0,0,0,9
23/01/21,3,1,3,0,2,0,2,0,9
24/01/21,1,3,0,0,2,0,0,0,6
25/01/21,6,3,0,0,2,0,0,0,6
26/01/21,1,2,2,0,0,0,0,0,11
27/01/21,2,2,0,0,1,0,0,0,4
28/01/21,3,3,1,0,2,0,0,0,7
29/01/21,1,3,1,0,1,0,0,0,8
30/01/21,1,2,1,0,1,0,0,0,6
31/01/21,0,3,0,0,3,0,0,0,6
1/2/2021,1,6,0,1,1,0,0,0,5
2/2/2021,1,2,0,0,0,0,0,0,7
3/2/2021,0,2,1,1,0,0,0,0,5
4/2/2021,3,3,0,4,0,0,0,0,6
5/2/2021,3,0,0,0,2,0,1,0,9
6/2/2021,0,2,1,1,1,0,0,0,6
7/2/2021,0,1,1,0,0,0,2,0,5
8/2/2021,1,3,1,0,0,0,1,0,3
9/2/2021,0,2,2,1,0,0,0,0,7
10/2/2021,2,4,0,0,0,0,0,0,2
11/2/2021,2,3,1,2,2,0,0,0,11
12/2/2021,5,2,1,1,1,0,0,0,8
13/02/21,1,2,0,0,0,0,0,0,7
14/02/21,3,2,2,0,0,0,0,0,5
15/02/21,2,0,0,0,0,0,1,0,6
16/02/21,4,1,0,0,0,0,0,0,2
17/02/21,0,4,0,0,0,0,0,0,5
18/02/21,1,0,0,2,0,0,0,0,6
19/02/21,3,2,0,0,0,0,0,0,1
20/02/21,0,1,0,0,0,0,0,0,5
21/02/21,0,3,0,0,0,0,1,0,2
22/02/21,0,1,0,2,1,0,0,0,6
23/02/21,0,4,2,0,1,0,0,0,4
24/02/21,0,1,0,2,1,0,0,0,7
25/02/21,0,7,0,1,0,0,0,0,2
26/02/21,2,4,1,0,0,0,0,0,8
27/02/21,0,6,4,0,0,0,1,0,11
28/02/21,0,5,1,0,0,0,0,0,7
1/3/2021,0,3,0,0,0,0,0,0,5
2/3/2021,0,3,2,3,0,0,0,0,8
3/3/2021,0,6,4,2,0,0,0,0,9
5/3/2021,0,12,0,1,1,0,0,2,10
5/3/2021,0,12,1,0,0,0,0,0,13
6/3/2021,1,3,1,0,0,0,0,0,13
7/3/2021,0,2,3,0,1,0,0,0,8
8/3/2021,1,1,1,0,1,0,0,2,6
9/3/2021,1,6,5,0,2,0,0,0,9
10/3/2021,0,5,5,2,1,0,0,0,15
11/3/2021,0,6,5,1,2,0,0,1,14
12/3/2021,0,8,5,3,1,0,0,0,15
13/03/21,0,1,2,2,0,0,0,0,12
14/03/21,0,3,4,5,1,0,0,0,11
15/03/21,0,4,1,0,1,0,0,0,5
16/03/21,0,2,6,3,1,0,0,0,14
17/03/21,0,7,2,2,1,0,0,0,7
18/03/21,0,3,6,2,1,0,1,0,17
19/03/21,0,5,8,2,0,0,0,0,13
20/03/21,0,3,9,1,2,0,0,0,17
21/03/21,0,2,4,1,1,0,0,0,9
22/03/21,0,5,2,0,0,0,0,0,4
23/03/21,0,4,4,0,1,0,0,0,10
24/03/21,0,3,3,0,0,0,0,0,7
25/03/21,0,5,4,2,1,0,0,0,10
26/03/21,0,3,3,0,2,0,0,0,10
27/03/21,0,3,7,1,0,0,0,0,11
28/03/21,0,0,6,3,0,0,1,0,13
29/03/21,1,2,3,2,1,0,1,0,7
30/03/21,0,5,10,2,3,0,0,0,18
31/03/21,0,4,10,3,0,0,0,0,18
1/4/2021,0,4,3,0,4,0,0,0,11
2/4/2021,0,0,10,1,2,0,1,0,18
3/4/2021,0,3,8,2,0,0,2,0,12
4/4/2021,0,1,3,0,0,0,0,0,6
5/4/2021,0,3,1,1,3,0,1,0,7
6/4/2021,0,7,4,2,1,0,0,0,10
7/4/2021,0,6,0,0,2,0,0,0,9
8/4/2021,0,2,6,1,1,0,0,0,14
9/4/2021,0,2,3,1,0,0,0,0,6
10/4/2021,1,4,1,2,0,0,0,0,5
11/4/2021,0,6,1,0,0,0,0,0,6
12/4/2021,2,9,0,1,2,0,0,0,9
13/04/21,0,5,2,0,1,0,0,0,14
14/04/21,0,3,2,8,3,0,0,0,18
15/04/21,5,9,2,1,7,0,0,0,13
16/04/21,0,7,0,2,1,0,1,0,18
17/04/21,2,7,5,1,1,0,0,0,14
18/04/21,0,6,1,4,1,0,6,0,21
19/04/21,4,8,2,0,6,0,0,0,14
20/04/21,1,3,0,6,2,0,4,0,24
21/04/21,3,8,0,3,3,0,6,0,16
22/04/21,2,7,1,2,2,0,3,0,19
23/04/21,3,18,0,9,2,0,5,0,25
24/04/21,1,1,4,1,0,0,12,0,38
25/04/21,1,1,1,1,2,0,10,0,16
26/04/21,0,8,2,1,2,0,1,0,8
27/04/21,4,12,2,14,0,0,4,0,28
28/04/21,2,9,2,1,4,0,0,0,23
29/04/21,1,15,9,0,4,0,1,1,26
30/04/21,2,13,4,3,4,0,0,0,27
1/5/2021,3,4,3,2,1,0,1,0,22
2/5/2021,1,3,0,2,1,0,0,0,10
3/5/2021,1,5,0,2,5,0,0,0,11
4/5/2021,1,7,3,3,3,0,0,0,15
5/5/2021,0,11,1,2,0,0,0,0,11
6/5/2021,2,10,0,1,2,0,0,0,14
7/5/2021,0,5,3,2,3,0,1,0,21
8/5/2021,1,6,2,3,0,0,0,0,10
9/5/2021,6,6,2,0,0,0,0,0,9
10/5/2021,2,6,3,2,0,0,0,0,17
11/5/2021,2,4,1,0,0,0,0,0,9
12/5/2021,0,4,0,0,2,0,0,0,8
13/05/21,1,5,3,1,0,0,0,0,8
14/05/21,1,1,0,0,0,0,0,0,6
15/05/21,1,3,0,0,0,0,0,0,2
16/05/21,4,3,1,1,0,0,2,0,8
17/05/21,1,2,1,0,0,0,0,0,8
18/05/21,0,3,1,0,0,0,0,0,4
19/05/21,1,2,2,4,0,0,1,0,10
20/05/21,0,2,1,0,0,0,0,0,4
21/05/21,0,0,1,1,1,0,0,0,5
22/05/21,0,1,2,1,0,0,0,0,3
23/05/21,1,2,2,0,0,0,1,0,4
24/05/21,2,2,0,0,0,0,0,0,3
25/05/21,4,2,3,1,1,0,0,0,9
26/05/21,10,2,2,1,0,0,0,0,9
27/05/21,12,0,1,2,0,0,0,0,15
28/05/21,6,3,2,0,0,0,1,0,15
29/05/21,7,1,2,0,0,0,0,0,11
30/05/21,6,5,1,0,0,0,1,0,10
31/05/21,5,2,2,2,0,0,0,0,15
1/6/2021,11,0,0,0,1,0,0,0,8
2/6/2021,6,1,0,0,1,0,0,0,12
3/6/2021,3,2,1,6,0,0,0,0,14
4/6/2021,6,0,2,1,0,0,0,0,8
5/6/2021,6,0,0,1,0,0,0,0,7
6/6/2021,8,5,1,1,0,0,0,0,8
7/6/2021,11,5,2,2,0,0,0,0,17
8/6/2021,3,5,0,3,0,0,0,0,19
9/6/2021,1,4,1,2,0,0,1,0,12
10/6/2021,4,3,3,1,0,0,0,0,9
11/6/2021,1,1,7,2,0,0,0,0,16
12/6/2021,4,1,0,1,0,0,0,0,3
13/06/21,1,1,1,3,0,0,0,0,9
14/06/21,6,6,7,1,0,0,1,0,11
15/06/21,3,4,1,0,0,0,0,0,13
16/06/21,8,3,2,1,1,0,0,0,11
17/06/21,1,5,0,4,1,0,0,0,16
18/06/21,1,1,6,1,0,0,0,0,13
19/06/21,3,6,3,3,0,0,1,0,9
20/06/21,2,6,0,1,0,0,0,0,10
21/06/21,9,7,1,0,0,0,0,0,9
22/06/21,2,10,5,3,0,0,0,0,24
23/06/21,1,17,3,0,0,0,0,0,15
24/06/21,5,12,1,0,0,0,1,0,20
25/06/21,0,23,4,4,1,0,0,0,26
26/06/21,4,12,2,0,0,0,0,0,25
27/06/21,3,32,1,2,0,0,1,0,20
28/06/21,2,22,3,3,1,0,3,0,45
29/06/21,2,20,3,0,1,0,1,0,29
30/06/21,2,28,4,2,1,0,2,0,31
1/7/2021,0,28,4,11,4,0,0,0,49
2/7/2021,3,32,4,0,0,0,1,0,33
3/7/2021,0,40,5,2,1,0,0,0,43
4/7/2021,1,16,8,1,0,0,0,0,49
