"","Daily cases (bars)","7-day average (line)"
"03/10/22","0","1,351.1"
"04/10/22","0","1,351.1"
"05/10/22","0","1,351.1"
"06/10/22","0","1,351.1"
"07/10/22","9230","1,318.6"
"08/10/22","0","1,318.6"
"09/10/22","0","1,318.6"
"10/10/22","0","1,318.6"
"11/10/22","0","1,318.6"
"12/10/22","0","1,318.6"
"13/10/22","0","1,318.6"
"14/10/22","8061","1,151.6"
